Date,Closing Index Value,Total Market Capitalization
2021-01-07,3803.79,32228444963844.86
2021-01-08,3824.68,32405440070119.06
2021-01-11,3799.61,32193028997151.42
2021-01-12,3801.19,32206415893652.76
2021-01-13,3809.84,32279704915638.01
2021-01-14,3795.54,32158545029581.48
2021-01-15,3768.25,31927324519757.51
2021-01-19,3798.91,32187098093638.16
2021-01-20,3851.85,32635643853626.47
2021-01-21,3853.07,32645980571178.15
2021-01-22,3841.47,32547697027244.18
2021-01-25,3855.36,32665383098385.8
2021-01-26,3849.62,32616749689577.1
2021-01-27,3750.77,31779221386312.18
2021-01-28,3787.38,32089407640055.51
2021-01-29,3714.24,31469712950113.21
2021-02-01,3773.86,31974856475056.61
2021-02-02,3826.31,32419250602585.64
2021-02-03,3830.17,32451955299101.6
2021-02-04,3871.74,32804166240596.01
2021-02-05,3886.83,32932019574903.22
2021-02-08,3915.59,33175694982105.04
2021-02-09,3911.23,33138753925936.75
2021-02-10,3909.88,33127315754875.47
2021-02-11,3916.38,33182388430355.71
2021-02-12,3934.83,33338710101526.55
2021-02-16,3932.59,33319731210284.13
2021-02-17,3931.33,33309055583960.26
2021-02-18,3913.97,33161969176831.5
2021-02-19,3906.71,33100457234679.72
2021-02-22,3876.5,32844496384486.16
2021-02-23,3881.37,32885758527499.82
2021-02-24,3925.43,33259066540062.82
2021-02-25,3829.34,32444922942078.74
2021-02-26,3811.15,32290804177927.1
2021-03-01,3901.82,33059025637279.97
2021-03-02,3870.29,32791880797604.26
2021-03-03,3819.72,32363415382367.98
2021-03-04,3768.47,31929188518004.52
2021-03-05,3841.94,32551679205317.36
2021-03-08,3821.35,32377225914834.56
2021-03-09,3875.44,32835515302023.23
2021-03-10,3898.81,33033522752172.96
2021-03-11,3939.34,33376922065590.54
2021-03-12,3943.34,33410812942809.15
2021-03-15,3968.94,33627714557008.26
2021-03-16,3962.71,33574929515740.27
2021-03-17,3974.12,33671603243006.36
2021-03-18,3915.46,33174593528595.43
2021-03-19,3913.1,33154597911036.45
2021-03-22,3940.59,33387512964721.35
2021-03-23,3910.52,33132738295230.44
2021-03-24,3889.14,32951591556496.97
2021-03-25,3909.52,33124265575925.8
2021-03-26,3974.54,33675161785114.31
