"Date","Price","Open","High","Low","Vol.","Change %"
"07/05/2013","55.24","56.00","56.05","55.08","2.02M","-0.49%"
"07/03/2013","55.51","55.01","55.58","54.89","1.15M","-0.04%"
"07/02/2013","55.53","55.26","56.07","54.90","2.82M","1.00%"
"07/01/2013","54.98","55.75","56.25","54.85","2.48M","-1.59%"
"06/28/2013","55.87","54.89","56.00","54.89","11.86M","0.99%"
"06/27/2013","55.32","54.54","55.75","54.54","2.22M","1.80%"
"06/26/2013","54.34","54.65","55.13","53.67","3.59M","-0.64%"
"06/25/2013","54.69","54.35","55.14","54.04","3.55M","1.62%"
"06/24/2013","53.82","53.33","54.22","52.91","3.30M","0.67%"
"06/21/2013","53.46","53.30","53.84","52.80","6.14M","0.89%"
"06/20/2013","52.99","55.10","55.15","52.91","4.80M","-4.23%"
"06/19/2013","55.33","56.65","56.74","55.30","3.30M","-2.33%"
"06/18/2013","56.65","55.90","56.73","55.88","1.91M","1.29%"
"06/17/2013","55.93","55.82","56.47","55.46","2.01M","0.45%"
"06/14/2013","55.68","55.79","56.48","55.27","2.90M","-0.55%"
"06/13/2013","55.99","53.60","56.12","53.55","4.92M","4.75%"
"06/12/2013","53.45","54.50","54.60","53.44","2.32M","-1.27%"
"06/11/2013","54.14","54.34","54.48","53.54","2.29M","-0.68%"
"06/10/2013","54.51","54.48","54.52","53.68","2.55M","0.26%"
"06/07/2013","54.37","54.07","54.47","53.22","3.11M","1.17%"
"06/06/2013","53.74","53.48","54.04","52.94","2.81M","0.83%"
"06/05/2013","53.30","54.18","54.31","53.21","2.81M","-2.02%"
"06/04/2013","54.40","55.13","55.48","53.71","4.32M","-0.98%"
"06/03/2013","54.94","55.14","55.39","53.63","4.38M","-0.34%"
"05/31/2013","55.13","55.47","55.69","54.80","4.87M","-0.51%"
"05/30/2013","55.41","56.53","56.86","55.39","2.71M","-2.29%"
"05/29/2013","56.71","57.30","57.54","56.60","2.43M","-1.44%"
"05/28/2013","57.54","57.38","57.84","56.99","2.34M","0.93%"
"05/24/2013","57.01","56.38","57.14","56.00","1.73M","0.19%"
"05/23/2013","56.90","56.47","57.16","56.33","3.39M","-0.09%"
"05/22/2013","56.95","56.56","57.26","56.25","5.88M","0.60%"
"05/21/2013","56.61","56.27","57.09","56.13","4.15M","0.66%"
"05/20/2013","56.24","56.13","56.27","55.39","2.69M","0.23%"
"05/17/2013","56.11","55.74","56.13","54.98","2.76M","1.06%"
"05/16/2013","55.52","55.82","55.82","54.97","2.27M","0.58%"
"05/15/2013","55.20","54.62","55.26","54.20","1.59M","0.79%"
"05/14/2013","54.77","54.30","54.81","53.95","2.10M","0.68%"
"05/13/2013","54.40","55.27","55.35","54.21","2.90M","-1.48%"
"05/10/2013","55.22","55.19","55.54","55.05","3.13M","0.31%"
"05/09/2013","55.05","55.50","55.57","54.73","2.79M","0.05%"
"05/08/2013","55.02","54.93","55.12","54.24","4.02M","0.31%"
"05/07/2013","54.85","53.31","55.69","53.24","6.67M","2.73%"
"05/06/2013","53.39","53.07","53.65","52.61","3.58M","0.53%"
"05/03/2013","53.11","53.00","54.10","52.37","6.14M","5.11%"
"05/02/2013","50.53","51.16","51.89","50.04","4.55M","-1.06%"
"05/01/2013","51.07","51.19","51.41","50.78","2.06M","-0.82%"
"04/30/2013","51.49","51.40","51.73","51.08","2.76M","-0.16%"
"04/29/2013","51.57","51.27","52.06","51.25","2.59M","1.28%"
"04/26/2013","50.92","51.46","51.70","50.77","2.55M","-0.70%"
"04/25/2013","51.28","50.90","51.31","50.69","2.33M","1.18%"
"04/24/2013","50.68","51.25","51.52","50.63","2.49M","-1.00%"
"04/23/2013","51.19","50.87","51.23","50.37","2.33M","1.09%"
"04/22/2013","50.64","50.59","50.81","50.02","2.12M","0.58%"
"04/19/2013","50.35","49.86","50.72","49.86","2.23M","0.52%"
"04/18/2013","50.09","50.50","50.78","49.79","2.96M","-0.65%"
"04/17/2013","50.42","51.11","51.23","50.13","3.01M","-2.08%"
"04/16/2013","51.49","51.04","51.56","50.75","2.33M","1.52%"
"04/15/2013","50.72","51.74","51.88","50.71","3.78M","-2.59%"
"04/12/2013","52.07","51.22","52.11","50.97","3.35M","2.10%"
"04/11/2013","51.00","51.61","51.93","50.89","4.27M","-0.70%"
"04/10/2013","51.36","50.95","51.43","50.93","2.98M","1.30%"
"04/09/2013","50.70","51.75","52.21","50.51","3.07M","-1.99%"
"04/08/2013","51.73","51.41","51.80","51.00","3.03M","0.96%"
"04/05/2013","51.24","51.50","51.54","51.14","3.21M","-1.18%"
"04/04/2013","51.85","51.66","52.01","51.53","1.67M","0.37%"
"04/03/2013","51.66","52.49","52.49","51.40","3.13M","-1.36%"
"04/02/2013","52.37","51.99","52.51","51.64","3.03M","0.93%"
"04/01/2013","51.89","51.38","52.10","51.26","2.81M","0.70%"
"03/28/2013","51.53","51.31","51.70","51.14","3.16M","0.31%"
"03/27/2013","51.37","51.11","51.45","50.81","2.59M","0.02%"
"03/26/2013","51.36","51.07","51.38","50.86","2.89M","0.21%"
"03/25/2013","51.25","51.51","51.95","51.00","12.23M","0.12%"
"03/22/2013","51.19","51.85","52.29","51.03","13.84M","-0.91%"
"03/21/2013","51.66","51.31","51.90","51.25","3.65M","0.29%"
"03/20/2013","51.51","51.05","51.57","50.93","4.24M","1.84%"
"03/19/2013","50.58","50.88","50.90","50.20","2.76M","-0.14%"
"03/18/2013","50.65","49.94","50.83","49.85","3.14M","0.76%"
"03/15/2013","50.27","50.16","50.65","49.93","21.02M","-0.40%"
"03/14/2013","50.47","50.79","50.85","50.27","3.56M","-0.53%"
"03/13/2013","50.74","50.49","50.84","49.95","3.74M","0.38%"
"03/12/2013","50.55","50.11","50.63","49.93","4.67M","1.12%"
"03/11/2013","49.99","49.95","50.33","49.79","4.03M","0.56%"
"03/08/2013","49.71","49.37","50.00","49.23","3.25M","1.37%"
"03/07/2013","49.04","49.37","49.39","48.88","2.68M","-0.30%"
"03/06/2013","49.19","49.57","49.75","49.11","2.84M","0.00%"
"03/05/2013","49.19","49.43","49.50","49.00","4.32M","0.08%"
"03/04/2013","49.15","48.40","49.16","48.40","3.59M","1.19%"
"03/01/2013","48.57","48.25","48.66","47.81","3.23M","0.19%"
"02/28/2013","48.48","47.81","48.91","47.73","4.53M","1.70%"
"02/27/2013","47.67","47.29","47.87","47.11","2.74M","0.85%"
"02/26/2013","47.27","46.92","47.40","46.80","3.66M","1.13%"
"02/25/2013","46.74","47.77","47.79","46.73","3.11M","-1.52%"
"02/22/2013","47.46","47.05","47.54","46.85","3.04M","1.30%"
"02/21/2013","46.85","47.23","47.34","46.65","3.30M","-0.80%"
"02/20/2013","47.23","47.58","47.61","47.17","4.18M","-0.30%"
"02/19/2013","47.37","47.21","47.80","47.21","5.37M","0.42%"
"02/15/2013","47.17","47.30","47.45","47.00","6.10M","0.02%"
"02/14/2013","47.16","47.40","47.65","46.87","5.69M","0.83%"
"02/13/2013","46.77","47.20","47.20","46.56","2.01M","-0.99%"
"02/12/2013","47.24","47.49","47.50","47.05","1.68M","-0.11%"
