"date","index","ticker","market_cap","company_name"
"2011-11-17","191","GOOGL","388027140307.62","Alphabet Inc."
"2011-11-18","191","GOOGL","384158944906.88","Alphabet Inc."
"2011-11-21","191","GOOGL","375156834074.44","Alphabet Inc."
"2011-11-22","191","GOOGL","374549805080.00","Alphabet Inc."
"2011-11-23","191","GOOGL","368163085127.86","Alphabet Inc."
"2011-11-25","191","GOOGL","363571621138.00","Alphabet Inc."
"2011-11-28","191","GOOGL","379838706637.94","Alphabet Inc."
"2011-11-29","191","GOOGL","376441927371.18","Alphabet Inc."
"2011-11-30","505","XOM","391108517166.52","Exxon Mobil Corporation"
"2011-12-01","191","GOOGL","396357644593.02","Alphabet Inc."
"2011-12-02","191","GOOGL","400613305309.36","Alphabet Inc."
"2011-12-05","191","GOOGL","404029457841.90","Alphabet Inc."
"2011-12-06","191","GOOGL","402815399853.02","Alphabet Inc."
"2011-12-07","191","GOOGL","402570005153.14","Alphabet Inc."
"2011-12-08","191","GOOGL","397830012792.30","Alphabet Inc."
"2011-12-09","191","GOOGL","405172480522.92","Alphabet Inc."
"2011-12-12","191","GOOGL","403861556205.14","Alphabet Inc."
"2011-12-13","191","GOOGL","404016542331.38","Alphabet Inc."
"2011-12-14","191","GOOGL","399134479354.82","Alphabet Inc."
"2011-12-15","191","GOOGL","400083769378.04","Alphabet Inc."
"2011-12-16","191","GOOGL","404229648254.96","Alphabet Inc."
"2011-12-19","191","GOOGL","401562595332.58","Alphabet Inc."
"2011-12-20","191","GOOGL","407077518324.62","Alphabet Inc."
"2011-12-21","191","GOOGL","404139239681.32","Alphabet Inc."
"2011-12-22","505","XOM","409827659273.57","Exxon Mobil Corporation"
"2011-12-23","505","XOM","414349426068.26","Exxon Mobil Corporation"
"2011-12-27","505","XOM","414641152958.24","Exxon Mobil Corporation"
"2011-12-28","191","GOOGL","413102603982.20","Alphabet Inc."
"2011-12-29","191","GOOGL","414846197902.40","Alphabet Inc."
"2011-12-30","191","GOOGL","417106412243.40","Alphabet Inc."
"2012-01-03","191","GOOGL","431035950772.62","Alphabet Inc."
"2012-01-04","191","GOOGL","432895064970.96","Alphabet Inc."
"2012-01-05","191","GOOGL","426890190887.82","Alphabet Inc."
"2012-01-06","191","GOOGL","421066693799.64","Alphabet Inc."
"2012-01-09","505","XOM","409819259632.50","Exxon Mobil Corporation"
"2012-01-10","505","XOM","410873765329.80","Exxon Mobil Corporation"
"2012-01-11","505","XOM","407806112392.20","Exxon Mobil Corporation"
"2012-01-12","191","GOOGL","407865039666.48","Alphabet Inc."
"2012-01-13","505","XOM","406847470849.20","Exxon Mobil Corporation"
"2012-01-17","505","XOM","410729969098.35","Exxon Mobil Corporation"
"2012-01-18","505","XOM","414372806961.75","Exxon Mobil Corporation"
"2012-01-19","505","XOM","417152867436.45","Exxon Mobil Corporation"
"2012-01-20","505","XOM","419357742985.35","Exxon Mobil Corporation"
"2012-01-23","505","XOM","419261878831.05","Exxon Mobil Corporation"
